Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0234	The type or namespace name 'Graphics' does not exist in the namespace 'TouchMacro.Platforms.Android' (are you missing an assembly reference?)	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\MacroAccessibilityService.cs	93	
Warning (active)	CS8618	Non-nullable field '_instance' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\MacroAccessibilityService.cs	25	
Warning (active)	CS8618	Non-nullable field '_logger' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\MacroAccessibilityService.cs	26	
Warning (active)	CS8618	Non-nullable field '_gestureBuilder' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\MacroAccessibilityService.cs	27	
Warning (active)	CS0618	'MauiApplication.Services' is obsolete: 'Use the IPlatformApplication.Current.Services instead.'	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\MacroAccessibilityService.cs	41	
Warning (active)	CS8601	Possible null reference assignment.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\MacroAccessibilityService.cs	41	
Warning (active)	CS8625	Cannot convert null literal to non-nullable reference type.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\MacroAccessibilityService.cs	47	
Warning (active)	CA1422	Using platform dependent API on a component makes the code no longer work across all platforms.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\MacroAccessibilityService.cs	65	
Warning (active)	CS8604	Possible null reference argument for parameter 'gesture' in 'bool AccessibilityService.DispatchGesture(GestureDescription gesture, GestureResultCallback? callback, Handler? handler)'.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\MacroAccessibilityService.cs	100	
Warning (active)	CS8618	Non-nullable field '_logger' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	30	
Warning (active)	CS8618	Non-nullable field '_recorderService' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	31	
Warning (active)	CS8618	Non-nullable field '_playerService' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	32	
Warning (active)	CS8618	Non-nullable field '_layoutParams' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	35	
Warning (active)	CS8618	Non-nullable field '_windowManager' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	36	
Warning (active)	CS8618	Non-nullable field '_overlayView' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	37	
Warning (active)	CS8618	Non-nullable field '_recordButton' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	38	
Warning (active)	CS8618	Non-nullable field '_playButton' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	39	
Warning (active)	CS8618	Non-nullable field '_settingsButton' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	40	
Warning (active)	CS8618	Non-nullable field '_gestureDetector' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	42	
Warning (active)	CS8618	Non-nullable field '_instance' must contain a non-null value when exiting constructor. Consider adding the 'required' modifier or declaring the field as nullable.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	45	
Warning (active)	CS0618	'MauiApplication.Services' is obsolete: 'Use the IPlatformApplication.Current.Services instead.'	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	57	
Warning (active)	CS8601	Possible null reference assignment.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	58	
Warning (active)	CS8601	Possible null reference assignment.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	59	
Warning (active)	CS8601	Possible null reference assignment.	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	60	
Warning (active)	CS8622	Nullability of reference types in type of parameter 'sender' of 'void OverlayService.OnPlaybackStarted(object sender, EventArgs e)' doesn't match the target delegate 'EventHandler' (possibly because of nullability attributes).	TouchMacro (net8.0-android)	D:\Development\TouchMacro\Platforms\Android\Services\OverlayService.cs	73	
